2025-12-28 06:06:45 | DEBUG    | app.main             | log_requests         | [0606451706] HEAD /
2025-12-28 06:06:45 | INFO     | app.main             | log_requests         | [0606451706] ✗ HEAD / - 405 (0ms)
2025-12-28 06:06:47 | DEBUG    | app.main             | log_requests         | [0606473984] GET /admin/
2025-12-28 06:06:47 | INFO     | app.main             | log_requests         | [0606473984] ✗ GET /admin/ - 404 (0ms)
2025-12-28 06:06:49 | DEBUG    | app.main             | log_requests         | [0606495301] GET /manager/
2025-12-28 06:06:49 | INFO     | app.main             | log_requests         | [0606495301] ✗ GET /manager/ - 404 (0ms)
2025-12-28 06:06:51 | DEBUG    | app.main             | log_requests         | [0606517421] GET /admin/content/sitetree/
2025-12-28 06:06:51 | INFO     | app.main             | log_requests         | [0606517421] ✗ GET /admin/content/sitetree/ - 404 (0ms)
2025-12-28 06:06:53 | DEBUG    | app.main             | log_requests         | [0606539644] GET /simpla/
2025-12-28 06:06:53 | INFO     | app.main             | log_requests         | [0606539644] ✗ GET /simpla/ - 404 (0ms)
2025-12-28 06:06:54 | DEBUG    | app.main             | log_requests         | [0606542051] GET /js/mage/cookies.js
2025-12-28 06:06:54 | INFO     | app.main             | log_requests         | [0606542051] ✗ GET /js/mage/cookies.js - 404 (0ms)
2025-12-28 06:06:56 | DEBUG    | app.main             | log_requests         | [0606564440] GET /administrator/
2025-12-28 06:06:56 | INFO     | app.main             | log_requests         | [0606564440] ✗ GET /administrator/ - 404 (0ms)
2025-12-28 06:32:52 | DEBUG    | app.main             | log_requests         | [0632522302] HEAD /
2025-12-28 06:32:52 | INFO     | app.main             | log_requests         | [0632522302] ✗ HEAD / - 405 (0ms)
2025-12-28 06:32:52 | DEBUG    | app.main             | log_requests         | [0632524330] GET /
2025-12-28 06:32:52 | INFO     | app.main             | log_requests         | [0632524330] ✔ GET / - 200 (0ms)
2025-12-28 06:32:52 | DEBUG    | app.main             | log_requests         | [0632526554] HEAD /
2025-12-28 06:32:52 | INFO     | app.main             | log_requests         | [0632526554] ✗ HEAD / - 405 (0ms)
2025-12-28 06:32:54 | DEBUG    | app.main             | log_requests         | [0632549166] GET /admin/
2025-12-28 06:32:54 | INFO     | app.main             | log_requests         | [0632549166] ✗ GET /admin/ - 404 (0ms)
2025-12-28 06:32:57 | DEBUG    | app.main             | log_requests         | [0632571084] GET /manager/
2025-12-28 06:32:57 | INFO     | app.main             | log_requests         | [0632571084] ✗ GET /manager/ - 404 (0ms)
2025-12-28 06:32:59 | DEBUG    | app.main             | log_requests         | [0632593801] GET /admin/content/sitetree/
2025-12-28 06:32:59 | INFO     | app.main             | log_requests         | [0632593801] ✗ GET /admin/content/sitetree/ - 404 (0ms)
2025-12-28 06:33:01 | DEBUG    | app.main             | log_requests         | [0633015879] GET /simpla/
2025-12-28 06:33:01 | INFO     | app.main             | log_requests         | [0633015879] ✗ GET /simpla/ - 404 (0ms)
2025-12-28 06:33:01 | DEBUG    | app.main             | log_requests         | [0633018473] GET /js/mage/cookies.js
2025-12-28 06:33:01 | INFO     | app.main             | log_requests         | [0633018473] ✗ GET /js/mage/cookies.js - 404 (0ms)
2025-12-28 06:33:04 | DEBUG    | app.main             | log_requests         | [0633040727] GET /administrator/
2025-12-28 06:33:04 | INFO     | app.main             | log_requests         | [0633040727] ✗ GET /administrator/ - 404 (0ms)
2025-12-28 06:36:23 | DEBUG    | app.main             | log_requests         | [0636235239] GET /
2025-12-28 06:36:23 | INFO     | app.main             | log_requests         | [0636235239] ✔ GET / - 200 (0ms)
2025-12-28 06:46:08 | DEBUG    | app.main             | log_requests         | [0646081553] GET /.well-known/rk2.php
2025-12-28 06:46:08 | INFO     | app.main             | log_requests         | [0646081553] ✗ GET /.well-known/rk2.php - 404 (0ms)
2025-12-28 06:46:08 | DEBUG    | app.main             | log_requests         | [0646083924] GET /ioxi-o.php
2025-12-28 06:46:08 | INFO     | app.main             | log_requests         | [0646083924] ✗ GET /ioxi-o.php - 404 (6ms)
2025-12-28 06:46:08 | DEBUG    | app.main             | log_requests         | [0646086317] GET /0x.php
2025-12-28 06:46:08 | INFO     | app.main             | log_requests         | [0646086317] ✗ GET /0x.php - 404 (0ms)
2025-12-28 06:46:08 | DEBUG    | app.main             | log_requests         | [0646088707] GET /222.php
2025-12-28 06:46:08 | INFO     | app.main             | log_requests         | [0646088707] ✗ GET /222.php - 404 (0ms)
2025-12-28 06:46:09 | DEBUG    | app.main             | log_requests         | [0646091101] GET /aa.php
2025-12-28 06:46:09 | INFO     | app.main             | log_requests         | [0646091101] ✗ GET /aa.php - 404 (0ms)
2025-12-28 06:46:09 | DEBUG    | app.main             | log_requests         | [0646093490] GET /abcd.php
2025-12-28 06:46:09 | INFO     | app.main             | log_requests         | [0646093490] ✗ GET /abcd.php - 404 (0ms)
2025-12-28 06:46:09 | DEBUG    | app.main             | log_requests         | [0646095724] GET /admin.php
2025-12-28 06:46:09 | INFO     | app.main             | log_requests         | [0646095724] ✗ GET /admin.php - 404 (0ms)
2025-12-28 06:46:09 | DEBUG    | app.main             | log_requests         | [0646098195] GET /admin/controller/extension/extension/jnweppgp.php
2025-12-28 06:46:09 | INFO     | app.main             | log_requests         | [0646098195] ✗ GET /admin/controller/extension/extension/jnweppgp.php - 404 (0ms)
2025-12-28 06:46:10 | DEBUG    | app.main             | log_requests         | [0646100489] GET /adminfuns.php
2025-12-28 06:46:10 | INFO     | app.main             | log_requests         | [0646100489] ✗ GET /adminfuns.php - 404 (0ms)
2025-12-28 06:46:10 | DEBUG    | app.main             | log_requests         | [0646102996] GET /akc.php
2025-12-28 06:46:10 | INFO     | app.main             | log_requests         | [0646102996] ✗ GET /akc.php - 404 (0ms)
2025-12-28 06:46:10 | DEBUG    | app.main             | log_requests         | [0646105374] GET /buy.php
2025-12-28 06:46:10 | INFO     | app.main             | log_requests         | [0646105374] ✗ GET /buy.php - 404 (0ms)
2025-12-28 06:46:10 | DEBUG    | app.main             | log_requests         | [0646107602] GET /cong.php
2025-12-28 06:46:10 | INFO     | app.main             | log_requests         | [0646107602] ✗ GET /cong.php - 404 (16ms)
2025-12-28 06:46:10 | DEBUG    | app.main             | log_requests         | [0646109982] GET /css/classwithtostring.php
2025-12-28 06:46:11 | INFO     | app.main             | log_requests         | [0646109982] ✗ GET /css/classwithtostring.php - 404 (0ms)
2025-12-28 06:46:11 | DEBUG    | app.main             | log_requests         | [0646112367] GET /db.php
2025-12-28 06:46:11 | INFO     | app.main             | log_requests         | [0646112367] ✗ GET /db.php - 404 (0ms)
2025-12-28 06:46:11 | DEBUG    | app.main             | log_requests         | [0646114751] GET /dropdown.php
